epoch,batches,loss,auc
0,1000,2.2338254005197795,0.7304291080070872
0,2000,1.6487484657233493,0.5995722347876417
0,3000,1.3866001359367008,0.4772205518258768
0,4000,1.245748801584239,0.38074135530548536
0,5000,1.1859946949229059,0.3101033835952366
0,6000,1.090081673997667,0.26112430638233547
0,7000,1.0097651628953794,0.2285875688854042
0,8000,0.9242632876794712,0.20694011911187102
0,9000,0.8806501737814599,0.19282470713300623
0,10000,0.8339108109241993,0.18344527313176945
0,11000,0.8091203303238642,0.17736605420903265
0,12000,0.7790572610572215,0.1734691324376827
0,13000,0.7376563096485531,0.17109919551489292
0,14000,0.7371993665883836,0.16979492420372785
0,15000,0.7213181472734301,0.16921689962069641
0,16000,0.7304193819198306,0.16905556757209067
1,1000,0.6148518227721498,0.1690464668117988
1,2000,0.6205479551006414,0.1690464668117988
1,3000,0.6219236762690099,0.1690464668117988
1,4000,0.6067640310431075,0.1690464668117988
1,5000,0.6040433642856816,0.1690464668117988
1,6000,0.6060548472191146,0.1690464668117988
1,7000,0.6295440521841588,0.1690464668117988
1,8000,0.6025959039184562,0.1690464668117988
1,9000,0.5978693399272771,0.1690464668117988
1,10000,0.59848948398332,0.1690464668117988
1,11000,0.6175329787200579,0.1690464668117988
1,12000,0.6244985224305799,0.1690464668117988
1,13000,0.6055203204268749,0.1690464668117988
1,14000,0.6038665432531428,0.1690464668117988
1,15000,0.6087607507346572,0.1690464668117988
1,16000,0.6048198423260689,0.1690464668117988
2,1000,0.620531632692062,0.1690464668117988
2,2000,0.5926819733381924,0.1690464668117988
2,3000,0.6101640928844568,0.1690464668117988
2,4000,0.626719598044525,0.1690464668117988
2,5000,0.617483695948561,0.1690464668117988
2,6000,0.6088334638400528,0.1690464668117988
2,7000,0.6130031853342887,0.1690464668117988
2,8000,0.6088474526147578,0.1690464668117988
2,9000,0.6035672858177372,0.1690464668117988
2,10000,0.6240657732417154,0.1690464668117988
2,11000,0.6168570262782085,0.1690464668117988
2,12000,0.6095753941849398,0.1690464668117988
2,13000,0.6139801909451851,0.1690464668117988
2,14000,0.6110358780875708,0.1690464668117988
2,15000,0.5878359967438034,0.1690464668117988
2,16000,0.6179589472402733,0.1690464668117988
3,1000,0.6278489039655226,0.1690464668117988
3,2000,0.6227993490583269,0.1690464668117988
3,3000,0.614700557707043,0.1690464668117988
3,4000,0.6092485101204066,0.1690464668117988
3,5000,0.6063884792488184,0.1690464668117988
3,6000,0.6119479110241666,0.1690464668117988
3,7000,0.6165753925506059,0.1690464668117988
3,8000,0.6145001041706546,0.1690464668117988
3,9000,0.5884286754523945,0.1690464668117988
3,10000,0.6143211366923558,0.1690464668117988
3,11000,0.6172084099614127,0.1690464668117988
3,12000,0.6091527660447212,0.1690464668117988
3,13000,0.6278497747113307,0.1690464668117988
3,14000,0.603928571319876,0.1690464668117988
3,15000,0.5964508648909097,0.1690464668117988
3,16000,0.6167690628568361,0.1690464668117988
4,1000,0.6134936559548763,0.1690464668117988
4,2000,0.6101724627004071,0.1690464668117988
4,3000,0.6183768460148615,0.1690464668117988
4,4000,0.620252069521094,0.1690464668117988
4,5000,0.6157719831306271,0.1690464668117988
4,6000,0.6149015296650322,0.1690464668117988
4,7000,0.6083545482661978,0.1690464668117988
4,8000,0.6041539352589197,0.1690464668117988
4,9000,0.6028089011282789,0.1690464668117988
4,10000,0.6074295489500592,0.1690464668117988
4,11000,0.5954952083545073,0.1690464668117988
4,12000,0.6151834045683059,0.1690464668117988
4,13000,0.6100206017509634,0.1690464668117988
4,14000,0.6105332300545503,0.1690464668117988
4,15000,0.614233674527882,0.1690464668117988
4,16000,0.6045867322624562,0.1690464668117988
