epoch,batches,loss,auc
0,1000,2.2236677851395243,0.6905541203214631
0,2000,1.645045579655744,0.7455682273012317
0,3000,1.3835259707223053,0.7801209440908299
0,4000,1.2426140000815404,0.8018467352149595
0,5000,1.1919913958205963,0.8179509956490811
0,6000,1.092760076557584,0.8307148102680305
0,7000,1.0166731000986984,0.8403789557513148
0,8000,0.9330628798444405,0.8488307094988583
0,9000,0.8870662826629433,0.8569360679206534
0,10000,0.8415268258434189,0.8640812162429804
0,11000,0.8041346217154053,0.8699885671440116
0,12000,0.7831089121465336,0.87475870290839
0,13000,0.7439943217157118,0.8781202405564581
0,14000,0.746114339805819,0.880118911219121
0,15000,0.7256034034161047,0.8811174303135967
0,16000,0.7376067316810008,0.8814697654298486
1,1000,0.6182063791989297,0.8814920608049306
1,2000,0.626029617932222,0.8814920608049306
1,3000,0.6204784892418882,0.8814920608049306
1,4000,0.6079825757485179,0.8814920608049306
1,5000,0.6091066396140221,0.8814920608049306
1,6000,0.6074109689158753,0.8814920608049306
1,7000,0.6304095144582449,0.8814920608049306
1,8000,0.6039404716965043,0.8814920608049306
1,9000,0.6085887633903303,0.8814920608049306
1,10000,0.6090769936981869,0.8814920608049306
1,11000,0.6254671810053284,0.8814920608049306
1,12000,0.619990938672767,0.8814920608049306
1,13000,0.6177136995331138,0.8814920608049306
1,14000,0.6108445651297589,0.8814920608049306
1,15000,0.6127764900497601,0.8814920608049306
1,16000,0.606710173882835,0.8814920608049306
2,1000,0.6208913306705642,0.8814920608049306
2,2000,0.5945210137168024,0.8814920608049306
2,3000,0.606027938171724,0.8814920608049306
2,4000,0.6369665051599009,0.8814920608049306
2,5000,0.6079553108492953,0.8814920608049306
2,6000,0.610567782409602,0.8814920608049306
2,7000,0.6190035681989858,0.8814920608049306
2,8000,0.6073779800450464,0.8814920608049306
2,9000,0.6082288404181906,0.8814920608049306
2,10000,0.6233272610825498,0.8814920608049306
2,11000,0.6169392262720041,0.8814920608049306
2,12000,0.6126363373409969,0.8814920608049306
2,13000,0.6081054862388664,0.8814920608049306
2,14000,0.6082246135791382,0.8814920608049306
2,15000,0.5940936216299615,0.8814920608049306
2,16000,0.6174424801230557,0.8814920608049306
